accession	target	treatment	input	Cell_Line	Sample Name	Experiment	source_name
SRR8315180	ERa	E2	SRR8315192	ZR-75-1	GSM3511084	SRX5128132	ZR-75-1_E2
SRR8315181	ERa	E2	SRR8315192	ZR-75-1	GSM3511084	SRX5128132	ZR-75-1_E2
SRR8315182	ERa	E2	SRR8315192	ZR-75-1	GSM3511084	SRX5128132	ZR-75-1_E2
SRR8315183	ERa	E2DHT	SRR8315192	ZR-75-1	GSM3511085	SRX5128133	ZR-75-1_E2+DHT
SRR8315184	ERa	E2DHT	SRR8315192	ZR-75-1	GSM3511085	SRX5128133	ZR-75-1_E2+DHT
SRR8315185	ERa	E2DHT	SRR8315192	ZR-75-1	GSM3511085	SRX5128133	ZR-75-1_E2+DHT
